date,SP500
21/07/2022,3998.95
20/07/2022,3959.9
19/07/2022,3936.69
18/07/2022,3830.85
15/07/2022,3863.16
14/07/2022,3790.38
13/07/2022,3801.78
12/07/2022,3818.8
11/07/2022,3854.43
08/07/2022,3899.38
07/07/2022,3902.62
06/07/2022,3845.08
05/07/2022,3831.39
01/07/2022,3825.33
30/06/2022,3785.38
29/06/2022,3818.83
28/06/2022,3821.55
27/06/2022,3900.11
24/06/2022,3911.74
23/06/2022,3795.73
22/06/2022,3759.89
21/06/2022,3764.79
17/06/2022,3674.84
16/06/2022,3666.77
15/06/2022,3789.99
14/06/2022,3735.48
13/06/2022,3749.63
10/06/2022,3900.86
09/06/2022,4017.82
08/06/2022,4115.77
07/06/2022,4160.68
06/06/2022,4121.43
03/06/2022,4108.54
02/06/2022,4176.82
01/06/2022,4101.23
31/05/2022,4132.15
27/05/2022,4158.24
26/05/2022,4057.84
25/05/2022,3978.73
24/05/2022,3941.48
23/05/2022,3973.75
20/05/2022,3901.36
19/05/2022,3900.79
18/05/2022,3923.68
17/05/2022,4088.85
16/05/2022,4008.01
13/05/2022,4023.89
12/05/2022,3930.08
11/05/2022,3935.18
10/05/2022,4001.05
09/05/2022,3991.24
06/05/2022,4123.34
05/05/2022,4146.87
04/05/2022,4300.17
03/05/2022,4175.48
02/05/2022,4155.38
29/04/2022,4131.93
28/04/2022,4287.5
27/04/2022,4183.96
26/04/2022,4175.2
25/04/2022,4296.12
22/04/2022,4271.78
21/04/2022,4393.66
20/04/2022,4459.45
19/04/2022,4462.21
18/04/2022,4391.69
14/04/2022,4392.59
13/04/2022,4446.59
12/04/2022,4397.45
11/04/2022,4412.53
08/04/2022,4488.28
07/04/2022,4500.21
06/04/2022,4481.15
05/04/2022,4525.12
04/04/2022,4582.64
01/04/2022,4545.86
31/03/2022,4530.41
30/03/2022,4602.45
29/03/2022,4631.6
28/03/2022,4575.52
25/03/2022,4543.06
24/03/2022,4520.16
23/03/2022,4456.24
22/03/2022,4511.61
21/03/2022,4461.18
18/03/2022,4463.12
17/03/2022,4411.67
16/03/2022,4357.86
15/03/2022,4262.45
14/03/2022,4173.11
11/03/2022,4204.31
10/03/2022,4259.52
09/03/2022,4277.88
08/03/2022,4170.7
07/03/2022,4201.09
04/03/2022,4328.87
03/03/2022,4363.49
02/03/2022,4386.54
01/03/2022,4306.26
28/02/2022,4373.94
25/02/2022,4384.65
24/02/2022,4288.7
23/02/2022,4225.5
22/02/2022,4304.76
18/02/2022,4348.87
17/02/2022,4380.26
16/02/2022,4475.01
15/02/2022,4471.07
14/02/2022,4401.67
11/02/2022,4418.64
10/02/2022,4504.08
09/02/2022,4587.18
08/02/2022,4521.54
07/02/2022,4483.87
04/02/2022,4500.53
03/02/2022,4477.44
02/02/2022,4589.38
01/02/2022,4546.54
31/01/2022,4515.55
28/01/2022,4431.85
27/01/2022,4326.51
26/01/2022,4349.93
25/01/2022,4356.45
24/01/2022,4410.13
21/01/2022,4397.94
20/01/2022,4482.73
19/01/2022,4532.76
18/01/2022,4577.11
14/01/2022,4662.85
13/01/2022,4659.03
12/01/2022,4726.35
11/01/2022,4713.07
10/01/2022,4670.29
07/01/2022,4677.03
06/01/2022,4696.05
05/01/2022,4700.58
04/01/2022,4793.54
03/01/2022,4796.56
31/12/2021,4766.18
30/12/2021,4778.73
29/12/2021,4793.06
28/12/2021,4786.35
27/12/2021,4791.19
23/12/2021,4725.79
22/12/2021,4696.56
21/12/2021,4649.23
20/12/2021,4568.02
17/12/2021,4620.64
16/12/2021,4668.67
15/12/2021,4709.85
14/12/2021,4634.09
13/12/2021,4668.97
10/12/2021,4712.02
09/12/2021,4667.45
08/12/2021,4701.21
07/12/2021,4686.75
06/12/2021,4591.67
03/12/2021,4538.43
02/12/2021,4577.1
01/12/2021,4513.04
30/11/2021,4567.0
29/11/2021,4655.27
26/11/2021,4594.62
24/11/2021,4701.46
23/11/2021,4690.7
22/11/2021,4682.94
19/11/2021,4697.96
18/11/2021,4704.54
17/11/2021,4688.67
16/11/2021,4700.9
15/11/2021,4682.8
12/11/2021,4682.85
11/11/2021,4649.27
10/11/2021,4646.71
09/11/2021,4685.25
08/11/2021,4701.7
05/11/2021,4697.53
04/11/2021,4680.06
03/11/2021,4660.57
02/11/2021,4630.65
01/11/2021,4613.67
29/10/2021,4605.38
28/10/2021,4596.42
27/10/2021,4551.68
26/10/2021,4574.79
25/10/2021,4566.48
22/10/2021,4544.9
21/10/2021,4549.78
20/10/2021,4536.19
19/10/2021,4519.63
18/10/2021,4486.46
15/10/2021,4471.37
14/10/2021,4438.26
13/10/2021,4363.8
12/10/2021,4350.65
11/10/2021,4361.19
08/10/2021,4391.34
07/10/2021,4399.76
06/10/2021,4363.55
05/10/2021,4345.72
04/10/2021,4300.46
01/10/2021,4357.04
30/09/2021,4307.54
29/09/2021,4359.46
28/09/2021,4352.63
27/09/2021,4443.11
24/09/2021,4455.48
23/09/2021,4448.98
22/09/2021,4395.64
21/09/2021,4354.19
20/09/2021,4357.73
17/09/2021,4432.99
16/09/2021,4473.75
15/09/2021,4480.7
14/09/2021,4443.05
13/09/2021,4468.73
10/09/2021,4458.58
09/09/2021,4493.28
08/09/2021,4514.07
07/09/2021,4520.03
03/09/2021,4535.43
02/09/2021,4536.95
01/09/2021,4524.09
31/08/2021,4522.68
30/08/2021,4528.79
27/08/2021,4509.37
26/08/2021,4470.0
25/08/2021,4496.19
24/08/2021,4486.23
23/08/2021,4479.53
20/08/2021,4441.67
19/08/2021,4405.8
18/08/2021,4400.27
17/08/2021,4448.08
16/08/2021,4479.71
13/08/2021,4468.0
12/08/2021,4460.83
11/08/2021,4442.41
10/08/2021,4436.75
09/08/2021,4432.35
06/08/2021,4436.52
05/08/2021,4429.1
04/08/2021,4402.66
03/08/2021,4423.15
02/08/2021,4387.16
30/07/2021,4395.26
29/07/2021,4419.15
28/07/2021,4400.64
27/07/2021,4401.46
26/07/2021,4422.3
23/07/2021,4411.79
22/07/2021,4367.48
21/07/2021,4358.69
20/07/2021,4323.06
19/07/2021,4258.49
16/07/2021,4327.16
15/07/2021,4360.03
14/07/2021,4374.3
13/07/2021,4369.21
12/07/2021,4384.63
09/07/2021,4369.55
08/07/2021,4320.82
07/07/2021,4358.13
06/07/2021,4343.54
02/07/2021,4352.34
01/07/2021,4319.94
30/06/2021,4297.5
29/06/2021,4291.8
28/06/2021,4290.61
25/06/2021,4280.7
24/06/2021,4266.49
23/06/2021,4241.84
22/06/2021,4246.44
21/06/2021,4224.79
18/06/2021,4166.45
17/06/2021,4221.86
16/06/2021,4223.7
15/06/2021,4246.59
14/06/2021,4255.15
11/06/2021,4247.44
